年份,代码,院校名称,"专业
编号","专业/类",选科,最高分,最低分,"最低分
平均排位",专业组,学院部,平均分,"录取
人数",备注
2023,10002,中国人民大学,4,外国语言文学类,物,,671,948.0,103,,,1.0,日语、俄语、德语、法语、西班牙语
2023,10002,中国人民大学,26,法学,物,,682,349.0,202,,,3.0,“法学-新闻学”“工商管理-法学”、涉外法治双学士学位
2023,10002,中国人民大学,24,金融学类,物,,679,472.0,202,,,4.0,金融学、金融工程、保险学、信用管理
2023,10002,中国人民大学,28,人工智能(拔尖班),物,,678,512.0,202,,,3.0,
2023,10002,中国人民大学,30,计算机类,物,,677,564.0,202,,,2.0,计算机科学与技术、软件工程、信息安全、数据科学与大数据技术、信息管理与信息系统
2023,10002,中国人民大学,29,统计学类,物,,675,675.0,202,,,10.0,经济统计学、统计学、应用统计学、数据科学与大数据技术
2023,10002,中国人民大学,33,计算机类(图灵实验班),物,,675,675.0,202,,,2.0,计算机科学与技术、软件工程、信息安全、数据科学与大数据技术、信息管理与信息系统
2023,10002,中国人民大学,25,财政学类,物,,674,745.0,202,,,3.0,财政学、税收学
2023,10002,中国人民大学,34,工商管理类(数据科学-营销管理双学位项目),物,,674,745.0,202,,,1.0,市场营销
2023,10002,中国人民大学,21,经济学类,物,,673,809.0,202,,,6.0,经济学、国民经济管理、能源经济、国际经济与贸易、数字经济
2023,10002,中国人民大学,31,数学类(英才班),物,,673,809.0,202,,,2.0,数学与应用数学、数据计算及应用
2023,10002,中国人民大学,20,社会科学试验班(管理学科类),物,,672,874.0,202,,,4.0,资源与环境经济学、农林经济管理、农村区域发展、行政管理、城市管理、土地资源管理、信息资源管理、档案学
2023,10002,中国人民大学,23,工商管理类,物,,671,948.0,202,,,5.0,工商管理、财务管理、会计学、市场营销、管理科学(商业数据分析)、贸易经济
2023,10002,中国人民大学,27,人力资源管理(经管试验班),物,,671,948.0,202,,,2.0,与加拿大蒙特利尔大学等国际交流项目
2023,10002,中国人民大学,22,新闻传播学类,物,,670,1026.0,202,,,2.0,新闻学、广播电视学、广告学、传播学、国际新闻与传播
2023,10002,中国人民大学,32,工商管理(中意美三学位管理学本科项目),物,,670,1026.0,202,,,1.0,
2023,18213,哈尔滨工业大学(深圳),6,工科试验班(计算机与电子通信),物,678.0,665,1514.0,202,,,136.0,计算机科学与技术、数据科学与大数据技术、通信工程、光电信息科学与工程
2023,18213,哈尔滨工业大学(深圳),5,工科试验班(自动化与电气工程),物,674.0,661,1971.0,202,,,100.0,自动化、电气工程及其自动化
2023,18213,哈尔滨工业大学(深圳),7,工科试验班(机器人与智能装备),物,670.0,659,2284.0,202,,,87.0,机器人工程、机械设计制造及其自动化、电子封装技术、能源与动力工程
2023,10007,北京理工大学,17,工科试验班(未来精工技术),物,,670,1026.0,202,,,2.0,智能制造工程、智能无人系统技术、人工智能、智能感知工程、网络空间安全、密码科学与技术、微电子科学与工程、数据科学与大数据技术
2023,10007,北京理工大学,18,工科试验班(徐特立英才班),物,,666,1409.0,202,,,8.0,飞行器设计与工程、飞行器动力工程、航空航天工程、武器发射工程、探测制导与控制技术、工程力学、武器系统与工程、弹药工程与爆炸技术、特种能源技术与工程、安全工程、机械电子工程、智能无人系统技术、车辆工程、装甲车辆工程、能源与动力工程、机械工程、工业工程、智能制造工程、能源与动力工程(含管理双学位)、自动化、电气工程及其自动化、计算机科学与技术、软件工程、人工智能、数据科学与大数据技术、网络空间安全、密码科学与技术、光电信息科学与工程、测控技术与仪器、智能感知工程、电子信息工程、电子科学与技术、通信工程、信息对抗技术、微电子科学与工程
2023,10007,北京理工大学,20,工科试验班(智能制造与智能车辆菁英班),物,,662,1842.0,202,,,7.0,车辆工程、装甲车辆工程、能源与动力工程、机械工程、工业工程、智能制造工程、能源与动力工程(含管理双学位)
2023,10007,北京理工大学,19,工科试验班(宇航与机电类),物,,659,2284.0,202,,,8.0,飞行器设计与工程、飞行器动力工程、航空航天工程、武器发射工程、探测制导与控制技术、工程力学、武器系统与工程、弹药工程与爆炸技术、特种能源技术与工程、安全工程、机械电子工程、智能无人系统技术
2023,10007,北京理工大学,21,工科试验班(信息科学技术),物,,659,2284.0,202,,,12.0,自动化、电气工程及其自动化、机器人工程、计算机科学与技术、软件工程、人工智能、数据科学与大数据技术、网络空间安全、密码科学与技术、信息对抗技术
2023,10007,北京理工大学,22,工科试验班(电子信息实验班),物,,658,2450.0,202,,,18.0,光电信息科学与工程、测控技术与仪器、智能感知工程、电子信息工程、电子科学与技术、通信工程、微电子科学与工程
2023,10007,北京理工大学,23,理科试验班(理学与材料菁英班),物,,658,2450.0,202,,,5.0,材料科学与工程、材料成型及控制工程、高分子材料与工程、材料化学、新能源材料与器件、电子封装技术、化学工程与工艺、制药工程、能源化学工程、生物医学工程、数学与应用数学、信息与计算科学、统计学、量子信息科学、应用物理学、化学工程与工艺(含管理双学位)、新能源材料与器件(含管理双学位)
2023,10007,北京理工大学,27,航空航天工程(中外合作办学),物,,640,6643.0,204,,,3.0,中外合作
2023,10007,北京理工大学,28,自动化(中外合作办学),物,,640,6643.0,204,,,2.0,中外合作
2023,10007,北京理工大学,26,会计学(中外合作办学),物,,627,11546.0,205,,,4.0,中外合作
2023,10487,华中科技大学,33,计算机科学与技术(计算机卓越计划实验班),物,,674,745.0,203,,,2.0,
2023,10487,华中科技大学,34,计算机科学与技术(启明本硕博实验班),物,,674,745.0,203,,,2.0,
2023,10487,华中科技大学,30,人工智能(未来技术学院本硕博),物,,673,809.0,203,,,2.0,
2023,10487,华中科技大学,24,电气工程及其自动化(启明本硕博实验班),物,,672,874.0,203,,,2.0,
2023,10487,华中科技大学,28,电子信息类(启明实验班),物,,672,874.0,203,,,3.0,光电信息科学与工程(光电卓越计划实验班)、光电信息科学与工程(王大珩光电创新实验班)
2023,10487,华中科技大学,29,机械设计制造及其自动化(未来技术学院本硕博),物,,671,948.0,203,,,2.0,
2023,10487,华中科技大学,32,计算机类(计算机学院),物,,670,1026.0,203,,,8.0,计算机科学与技术、数据科学与大数据技术、智能科学与技术
2023,10487,华中科技大学,23,电气工程及其自动化(电气卓越计划实验班),物,,669,1113.0,203,,,2.0,
2023,10487,华中科技大学,27,电子信息类(光电信息学院),物,,668,1200.0,203,,,6.0,光电信息科学与工程(光电子芯片、光通信、智能光电集成系统)
2023,10487,华中科技大学,36,自动化类,物,,667,1298.0,203,,,6.0,人工智能、自动化
2023,10487,华中科技大学,16,机械设计制造及其自动化(启明本硕博实验班),物,,666,1409.0,203,,,4.0,
2023,10487,华中科技大学,35,计算机类(网安学院),物,,666,1409.0,203,,,8.0,网络空间安全、信息安全、密码科学与技术
2023,10487,华中科技大学,31,电子信息类(集成电路学院),物,,665,1514.0,203,,,8.0,集成电路设计与集成系统、微电子科学与工程、电子科学与技术
2023,10487,华中科技大学,14,物理学(严济慈物理学英才班),物,,664,1609.0,203,,,3.0,
2023,10487,华中科技大学,19,能源与动力工程(能源卓越计划实验班),物,,663,1719.0,203,,,3.0,
2023,10487,华中科技大学,22,电气工程及其自动化,物,,663,1719.0,203,,,14.0,
2023,10487,华中科技大学,26,电子信息类(电信学院),物,,663,1719.0,203,,,9.0,电子信息工程、通信工程、电磁场与无线技术
2023,10487,华中科技大学,12,数学类,物,,661,1971.0,203,,,5.0,数学与应用数学、统计学、信息与计算科学
2023,10487,华中科技大学,13,物理学类,物,,661,1971.0,203,,,2.0,物理学、应用物理学
2023,10487,华中科技大学,37,建筑类(智慧建筑规划试验班)(5年),物,,660,2118.0,203,,,4.0,建筑学、城乡规划、风景园林
2023,10487,华中科技大学,39,数字经济,物,,660,2118.0,203,,,4.0,
2023,10487,华中科技大学,21,智能建造,物,,659,2284.0,203,,,6.0,
2023,10487,华中科技大学,15,机械类,物,,658,2450.0,203,,,13.0,机械设计制造及其自动化(智能制造、先进电子制造、机器人)、工业工程、测控技术与仪器
2023,10487,华中科技大学,20,航空航天类,物,,658,2450.0,203,,,6.0,飞行器设计与工程、工程力学
2023,10487,华中科技大学,38,管理科学与工程类(大数据管理与供应链优化试验班),物,,658,2450.0,203,,,5.0,信息管理与信息系统、物流管理
2023,10487,华中科技大学,17,电子封装技术,物,,657,2611.0,203,,,9.0,
