year,category,score,count,cumulative_count,rank
2023,物理,700,27.0,27,14.0
2023,物理,699,8.0,35,32.0
2023,物理,698,4.0,39,38.0
2023,物理,697,6.0,45,43.0
2023,物理,696,12.0,57,52.0
2023,物理,695,14.0,71,65.0
2023,物理,694,14.0,85,79.0
2023,物理,693,11.0,96,91.0
2023,物理,692,15.0,111,104.0
2023,物理,691,13.0,124,118.0
2023,物理,690,18.0,142,134.0
2023,物理,689,19.0,161,152.0
2023,物理,688,20.0,181,172.0
2023,物理,687,19.0,200,191.0
2023,物理,686,27.0,227,214.0
2023,物理,685,27.0,254,241.0
2023,物理,684,38.0,292,274.0
2023,物理,683,42.0,334,314.0
2023,物理,682,28.0,362,349.0
2023,物理,681,40.0,402,383.0
2023,物理,680,50.0,452,428.0
2023,物理,679,38.0,490,472.0
2023,物理,678,43.0,533,512.0
2023,物理,677,61.0,594,564.0
2023,物理,676,48.0,642,619.0
2023,物理,675,65.0,707,675.0
2023,物理,674,74.0,781,745.0
2023,物理,673,55.0,836,809.0
2023,物理,672,75.0,911,874.0
2023,物理,671,73.0,984,948.0
2023,物理,670,83.0,1067,1026.0
2023,物理,669,90.0,1157,1113.0
2023,物理,668,84.0,1241,1200.0
2023,物理,667,112.0,1353,1298.0
2023,物理,666,111.0,1464,1409.0
2023,物理,665,98.0,1562,1514.0
2023,物理,664,93.0,1655,1609.0
2023,物理,663,126.0,1781,1719.0
2023,物理,662,120.0,1901,1842.0
2023,物理,661,139.0,2040,1971.0
2023,物理,660,154.0,2194,2118.0
2023,物理,659,179.0,2373,2284.0
2023,物理,658,152.0,2525,2450.0
2023,物理,657,171.0,2696,2611.0
2023,物理,656,177.0,2873,2785.0
2023,物理,655,168.0,3041,2958.0
2023,物理,654,190.0,3231,3137.0
2023,物理,653,196.0,3427,3330.0
2023,物理,652,202.0,3629,3529.0
2023,物理,651,230.0,3859,3745.0
2023,物理,650,225.0,4084,3972.0
2023,物理,649,250.0,4334,4210.0
2023,物理,648,244.0,4578,4457.0
2023,物理,647,247.0,4825,4702.0
2023,物理,646,264.0,5089,4958.0
2023,物理,645,252.0,5341,5216.0
2023,物理,644,276.0,5617,5480.0
2023,物理,643,268.0,5885,5752.0
2023,物理,642,298.0,6183,6035.0
2023,物理,641,300.0,6483,6334.0
2023,物理,640,318.0,6801,6643.0
2023,物理,639,322.0,7123,6963.0
2023,物理,638,304.0,7427,7276.0
2023,物理,637,365.0,7792,7610.0
2023,物理,636,363.0,8155,7974.0
2023,物理,635,381.0,8536,8346.0
2023,物理,634,365.0,8901,8719.0
2023,物理,633,373.0,9274,9088.0
2023,物理,632,390.0,9664,9470.0
2023,物理,631,392.0,10056,9861.0
2023,物理,630,406.0,10462,10260.0
2023,物理,629,449.0,10911,10687.0
2023,物理,628,417.0,11328,11120.0
2023,物理,627,434.0,11762,11546.0
2023,物理,626,465.0,12227,11995.0
2023,物理,625,453.0,12680,12454.0
2023,物理,624,459.0,13139,12910.0
2023,物理,623,462.0,13601,13371.0
2023,物理,622,481.0,14082,13842.0
2023,物理,621,470.0,14552,14318.0
2023,物理,620,472.0,15024,14789.0
2023,物理,619,491.0,15515,15270.0
2023,物理,618,500.0,16015,15766.0
2023,物理,617,536.0,16551,16284.0
2023,物理,616,503.0,17054,16803.0
2023,物理,615,578.0,17632,17344.0
2023,物理,614,530.0,18162,17898.0
2023,物理,613,543.0,18705,18434.0
2023,物理,612,561.0,19266,18986.0
2023,物理,611,631.0,19897,19582.0
2023,物理,610,584.0,20481,20190.0
2023,物理,609,597.0,21078,20780.0
2023,物理,608,647.0,21725,21402.0
2023,物理,607,662.0,22387,22057.0
2023,物理,606,686.0,23073,22731.0
2023,物理,605,674.0,23747,23411.0
2023,物理,604,676.0,24423,24086.0
2023,物理,603,684.0,25107,24766.0
2023,物理,602,675.0,25782,25445.0
2023,物理,601,684.0,26466,26125.0
2023,物理,600,702.0,27168,26818.0
2023,物理,599,767.0,27935,27552.0
2023,物理,598,709.0,28644,28290.0
2023,物理,597,746.0,29390,29018.0
2023,物理,596,723.0,30113,29752.0
2023,物理,595,772.0,30885,30500.0
2023,物理,594,771.0,31656,31271.0
2023,物理,593,789.0,32445,32051.0
2023,物理,592,783.0,33228,32837.0
2023,物理,591,811.0,34039,33634.0
2023,物理,590,831.0,34870,34455.0
2023,物理,589,849.0,35719,35295.0
2023,物理,588,870.0,36589,36155.0
2023,物理,587,861.0,37450,37020.0
2023,物理,586,821.0,38271,37861.0
2023,物理,585,877.0,39148,38710.0
2023,物理,584,875.0,40023,39586.0
2023,物理,583,894.0,40917,40471.0
2023,物理,582,917.0,41834,41376.0
2023,物理,581,863.0,42697,42266.0
2023,物理,580,911.0,43608,43153.0
2023,物理,579,852.0,44460,44035.0
2023,物理,578,942.0,45402,44932.0
2023,物理,577,922.0,46324,45864.0
2023,物理,576,1011.0,47335,46830.0
2023,物理,575,959.0,48294,47815.0
2023,物理,574,961.0,49255,48775.0
2023,物理,573,972.0,50227,49742.0
2023,物理,572,1027.0,51254,50741.0
2023,物理,571,1026.0,52280,51768.0
2023,物理,570,989.0,53269,52775.0
2023,物理,569,992.0,54261,53766.0
2023,物理,568,1032.0,55293,54778.0
2023,物理,567,1072.0,56365,55830.0
2023,物理,566,1013.0,57378,56872.0
2023,物理,565,1017.0,58395,57887.0
2023,物理,564,1034.0,59429,58913.0
2023,物理,563,1033.0,60462,59946.0
2023,物理,562,1096.0,61558,61011.0
2023,物理,561,1126.0,62684,62122.0
2023,物理,560,1093.0,63777,63231.0
2023,物理,559,1103.0,64880,64329.0
2023,物理,558,1120.0,66000,65441.0
2023,物理,557,1187.0,67187,66594.0
2023,物理,556,1072.0,68259,67724.0
2023,物理,555,1129.0,69388,68824.0
2023,物理,554,1162.0,70550,69970.0
2023,物理,553,1197.0,71747,71149.0
2023,物理,552,1166.0,72913,72331.0
2023,物理,551,1175.0,74088,73501.0
2023,物理,550,1152.0,75240,74665.0
2023,物理,549,1217.0,76457,75849.0
2023,物理,548,1164.0,77621,77040.0
2023,物理,547,1229.0,78850,78236.0
2023,物理,546,1235.0,80085,79468.0
