年份,代码,院校名称,"专业
编号",专业/类,选科,最高分,最低分,"最低分
平均排位",专业组,学院部,平均分,"录取
人数",备注
2024,18213,哈尔滨工业大学(深圳),5,经济管理试验班,历,623.0,613,1612.0,201,,,16.0,经济学、会计学(大数据会计)
2024,18213,哈尔滨工业大学(深圳),4,建筑类(智慧人居)(5年),历,617.0,610,1871.0,201,,,10.0,建筑学、城乡规划
2024,18213,哈尔滨工业大学(深圳),6,数字媒体艺术,历,616.0,610,1871.0,201,,,15.0,
2024,10007,北京理工大学,12,社会科学试验班(人文社科),历,,613,1612.0,201,,,6.0,法学、社会工作、法学(含AI双学位)、英语、日语、德语、西班牙语
2024,10007,北京理工大学,11,社会科学试验班(管理与经济),历,,611,1781.0,201,,,14.0,经济学、国际经济与贸易、国际经济与贸易(含数字金融、数字贸易)、工商管理、工商管理(含AI双学位)
2024,10286,东南大学,9,文科试验班类(郭秉文班),历,623.0,620,1109.0,201,,,3.0,社会学、汉语言文学、旅游管理、哲学、法学、艺术史论
2024,10286,东南大学,8,文科试验班类(数智经济与智能管理),历,620.0,618,1236.0,201,,,4.0,金融学、经济学、国际经济与贸易、会计学、电子商务、工商管理、物流管理
2024,10286,东南大学,10,英语,历,618.0,617,1315.0,201,,,2.0,
2024,10247,同济大学,9,法学,历,640.0,632,493.0,201,,,2.0,
2024,10247,同济大学,8,人文科学试验班,历,632.0,630,571.0,201,,,6.0,传播学、德语、英语、日语、哲学、文化产业管理、汉语言文学
2024,10055,南开大学,1,外国语言文学类,历,620.0,612,1699.0,101,,,7.0,英语、俄语、法语、西班牙语、日语、意大利语、翻译(英、德、葡、阿)
2024,10055,南开大学,8,金融学类,历,639.0,630,571.0,201,,,2.0,金融学、保险学(保险与精算)
2024,10055,南开大学,7,经济学类,历,644.0,628,655.0,201,,,9.0,经济学、国际经济与贸易、财政学、商务经济学
2024,10055,南开大学,10,工商管理类(未来商业领导者计划),历,635.0,628,655.0,201,,,4.0,工商管理、人力资源管理、财务管理、会计学、会计学(国际会计)、市场营销、物流管理、图书馆学、档案学、旅游管理、会展经济与管理
2024,10055,南开大学,9,中国语言文学类,历,635.0,627,701.0,201,,,7.0,汉语言文学、汉语国际教育、新闻学、网络与新媒体、网络与新媒体(出版与智能传播)
2024,10055,南开大学,5,历史学类,历,635.0,627,701.0,201,,,7.0,历史学、世界史、考古学
2024,10055,南开大学,6,哲学类,历,627.0,627,701.0,201,,,1.0,哲学、逻辑学
2024,10614,电子科技大学,3,社会科学试验班,历,603.0,603,2639.0,201,,,3.0,行政管理、城市管理、法学
2024,10614,电子科技大学,4,外国语言文学类,历,602.0,600,2996.0,201,,,3.0,英语、日语、法语、翻译
2024,10698,西安交通大学,11,法学试验班,历,622.0,620,1109.0,201,,,3.0,法学(卓越复合班)、国际经贸规则(丝路国际班)
2024,10698,西安交通大学,9,文科试验班类,历,620.0,616,1385.0,201,,,4.0,哲学、社会学、汉语言文学
2024,10698,西安交通大学,12,网络与新媒体,历,615.0,615,1455.0,201,,,2.0,
2024,10698,西安交通大学,10,外国语言文学类,历,615.0,614,1531.0,201,,,2.0,英语、英语(语言数据)、英语(英法)
2024,10698,西安交通大学,13,公共管理类,历,614.0,614,1531.0,201,,,2.0,行政管理、劳动与社会保障
2024,10027,北京师范大学,2,日语,历,634.0,626,750.0,101,,,2.0,
2024,10027,北京师范大学,1,俄语,历,617.0,615,1455.0,101,,,2.0,
2024,10027,北京师范大学,3,特殊教育(国家公费师范生),历,609.0,598,3242.0,102,,,2.0,公师
2024,10027,北京师范大学,17,汉语言文学,历,648.0,644,214.0,201,,,3.0,
2024,10027,北京师范大学,22,历史学类,历,643.0,641,251.0,201,,,2.0,历史学、考古学
2024,10027,北京师范大学,16,法学(卓越实验班),历,640.0,639,292.0,201,,,2.0,
2024,10027,北京师范大学,20,教育学类,历,639.0,639,292.0,201,,,2.0,教育学、学前教育、特殊教育、教育技术学
2024,10027,北京师范大学,19,社会学,历,641.0,638,317.0,201,,,2.0,“社会学-心理学”双学士学位
2024,10027,北京师范大学,21,公共管理类,历,637.0,637,346.0,201,,,2.0,公共事业管理、人力资源管理、信息管理与信息系统(大数据治理)
2024,10027,北京师范大学,15,哲学,历,638.0,636,373.0,201,,,3.0,
2024,10027,北京师范大学,18,戏剧影视文学,历,631.0,623,914.0,211,,,2.0,
