院校代码,院校名称,批次,招生备注,科类,专业组代码,专业序号,专业名称,专业备注,语种要求,选科要求,计划招数,学制,学费,2024_最低分,2024_最低位次,2023_最低分,2023_最低位次,2022_最低分,2022_最低位次,2021_最低分,2021_最低位次
10001,北京大学,本科提前批,提前批本科.非军检院校,历史,103,1,法语,(校本部),(语种要求：英语),不限,1.0,4.0,5000.0,659.0,49.0,0.0,0.0,650.0,30.0,0.0,0.0
10001,北京大学,本科提前批,提前批本科.非军检院校,历史,103,2,德语,(校本部),(语种要求：英语),不限,1.0,4.0,5000.0,659.0,49.0,668.0,39.0,649.0,35.0,0.0,0.0
10001,北京大学,本科提前批,提前批本科.非军检院校,历史,103,3,西班牙语,(校本部),(语种要求：英语),不限,1.0,4.0,5000.0,659.0,49.0,668.0,39.0,649.0,35.0,0.0,0.0
10001,北京大学,本科提前批,提前批本科.非军检院校,历史,103,4,日语,(校本部),(语种要求：英语),不限,1.0,4.0,5000.0,659.0,49.0,669.0,35.0,0.0,0.0,0.0,0.0
10001,北京大学,本科提前批,提前批本科.非军检院校,历史,103,5,俄语,(校本部),(语种要求：英语),不限,1.0,4.0,5000.0,659.0,49.0,666.0,54.0,649.0,35.0,0.0,0.0
10001,北京大学,本科提前批,提前批本科.非军检院校,历史,103,6,阿拉伯语,(校本部),(语种要求：英语),不限,1.0,4.0,5000.0,659.0,49.0,666.0,54.0,646.0,42.0,0.0,0.0
10001,北京大学,本科提前批,提前批本科.非军检院校,历史,103,7,朝鲜语,(校本部),(语种要求：英语),不限,1.0,4.0,5000.0,659.0,49.0,663.0,70.0,645.0,48.0,0.0,0.0
10001,北京大学,本科提前批,提前批本科.非军检院校,历史,103,8,意大利语,(校本部),(语种要求：英语),不限,1.0,4.0,5000.0,,,,,,,,
10001,北京大学,本科批,本科,历史,205,41,文科试验班类,(元培)(中国语言文学类，考古学，历史学类，哲学类，社会学类，法学，新闻传播学类，经济学类，工商管理类，公共管理类)(校本部),,不限,1.0,4.0,5300.0,662.0,32.0,675.0,31.0,662.0,5.0,0.0,0.0
10001,北京大学,本科批,本科,历史,205,42,中国语言文学类,(汉语言文学，汉语言，古典文献学，应用语言学)(校本部),,不限,2.0,4.0,5000.0,662.0,32.0,673.0,31.0,655.0,13.0,0.0,0.0
