year,category,score,count,cumulative_count,rank
2025,历史,672,19.0,19,10.0
2025,历史,671,4.0,23,22.0
2025,历史,670,2.0,25,25.0
2025,历史,669,8.0,33,30.0
2025,历史,668,6.0,39,37.0
2025,历史,667,4.0,43,42.0
2025,历史,666,5.0,48,46.0
2025,历史,665,6.0,54,52.0
2025,历史,664,4.0,58,57.0
2025,历史,663,13.0,71,65.0
2025,历史,662,10.0,81,77.0
2025,历史,661,8.0,89,86.0
2025,历史,660,6.0,95,93.0
2025,历史,659,11.0,106,101.0
2025,历史,658,13.0,119,113.0
2025,历史,657,6.0,125,123.0
2025,历史,656,14.0,139,133.0
2025,历史,655,13.0,152,146.0
2025,历史,654,8.0,160,157.0
2025,历史,653,9.0,169,165.0
2025,历史,652,13.0,182,176.0
2025,历史,651,21.0,203,193.0
2025,历史,650,16.0,219,212.0
2025,历史,649,25.0,244,232.0
2025,历史,648,23.0,267,256.0
2025,历史,647,23.0,290,279.0
2025,历史,646,33.0,323,307.0
2025,历史,645,35.0,358,341.0
2025,历史,644,39.0,397,378.0
2025,历史,643,45.0,442,420.0
2025,历史,642,40.0,482,463.0
2025,历史,641,42.0,524,504.0
2025,历史,640,29.0,553,539.0
2025,历史,639,47.0,600,577.0
2025,历史,638,40.0,640,621.0
2025,历史,637,56.0,696,669.0
2025,历史,636,39.0,735,716.0
2025,历史,635,57.0,792,764.0
2025,历史,634,48.0,840,817.0
2025,历史,633,72.0,912,877.0
2025,历史,632,56.0,968,941.0
2025,历史,631,48.0,1016,993.0
2025,历史,630,91.0,1107,1062.0
2025,历史,629,74.0,1181,1145.0
2025,历史,628,76.0,1257,1220.0
2025,历史,627,81.0,1338,1298.0
2025,历史,626,79.0,1417,1378.0
2025,历史,625,77.0,1494,1456.0
2025,历史,624,92.0,1586,1541.0
2025,历史,623,96.0,1682,1635.0
2025,历史,622,96.0,1778,1731.0
2025,历史,621,112.0,1890,1835.0
2025,历史,620,121.0,2011,1951.0
2025,历史,619,120.0,2131,2072.0
2025,历史,618,114.0,2245,2189.0
2025,历史,617,121.0,2366,2306.0
2025,历史,616,106.0,2472,2420.0
2025,历史,615,125.0,2597,2535.0
2025,历史,614,156.0,2753,2676.0
2025,历史,613,143.0,2896,2825.0
