subject_group,school_code,school_name,major_group_code,actual_group_min_score,actual_group_min_rank,major_code,major_name,actual_major_min_score,actual_major_min_rank,actual_major_max_score,actual_major_avg_score,actual_major_admit_count,selection_requirement,college_department,major_note,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
历史,18213,哈尔滨工业大学(深圳),201,619,2037,002,经济管理试验班,623,1635,630.0,,15,历,,会计学,41,41,,,2
历史,18213,哈尔滨工业大学(深圳),201,619,2037,003,建筑类,619,2072,631.0,,26,历,,建筑学、城乡规划、数字媒体艺术,41,41,,,2
历史,10286,东南大学,207,623,1650,007,文科试验班类(郭秉文班),628,1244,,,3,历,,法学、艺术史论、哲学、汉语言文学、社会学,9,9,,,3
历史,10286,东南大学,207,623,1650,006,文科试验班类(数智经济与智能管理),623,1597,,,4,历,,会计学、金融学、经济学、工商管理、国际经济与贸易、物流管理,9,9,,,3
历史,10286,东南大学,207,623,1650,008,英语,623,1650,,,2,历,,,9,9,,,3
历史,10247,同济大学,207,637,647,010,法学,639,571,642.0,,4,历,,,9,9,,,2
历史,10247,同济大学,207,637,647,009,人文科学试验班,637,644,644.0,,5,历,,传播学、德语、英语(数智人文)、日语、哲学、文化产业管理、汉语言文学,9,9,,,2
历史,10055,南开大学,102,626,1346,001,外国语言文学类,626,1339,632.0,,7,历,,英语、俄语、日语、法语、西班牙语、意大利语、翻译(英、德、葡、阿),7,7,,,1
历史,10055,南开大学,204,632,964,009,法学,639,554,639.0,,2,历,,,34,35,-1.0,,6
历史,10055,南开大学,204,632,964,011,金融学类,638,601,644.0,,4,历,,金融学、保险学(保险与精算),34,35,-1.0,,6
历史,10055,南开大学,204,632,964,010,经济学类,637,641,647.0,,9,历,,经济学、国际经济与贸易、财政学、商务经济学,34,35,-1.0,,6
历史,10055,南开大学,204,632,964,012,中国语言文学类,635,736,639.0,,7,历,,汉语言文学、新闻学、网络与新媒体(出版与智能传播方向)、汉语国际教育,34,35,-1.0,,6
历史,10055,南开大学,204,632,964,013,工商管理类(未来商业领导者计划),632,913,637.0,,4,历,,工商管理、人力资源管理、财务管理、会计学、市场营销、物流管理、图书馆学、档案学、旅游管理、会展经济与管理,34,35,-1.0,,6
历史,10055,南开大学,204,632,964,007,历史学类,632,913,636.0,,7,历,,历史学、世界史、文物与博物馆学,34,35,-1.0,,6
历史,10614,电子科技大学,204,614,2653,007,英语,615,2535,,,2,历,,AI交叉复合型创新人才双学位培养计划,7,7,,,3
历史,10614,电子科技大学,204,614,2653,005,社会科学试验班,614,2676,,,3,历,,"行政管理、城市管理、法学
公共管理与法律复合人才",7,7,,,3
历史,10614,电子科技大学,204,614,2653,006,外国语言文学类,614,2676,,,2,历,,英语、日语、法语,7,7,,,3
历史,10698,西安交通大学,206,621,1784,011,国际经贸规则,627,1298,628.0,,3,历,,丝路国际班,14,14,,,5
历史,10698,西安交通大学,206,621,1784,009,网络与新媒体,622,1731,624.0,,2,历,,,14,14,,,5
历史,10698,西安交通大学,206,621,1784,007,文科试验班类,622,1731,627.0,,4,历,,哲学、社会学、汉语言文学,14,14,,,5
