subject_group,school_code,school_name,major_group_code,selection_requirement,group_majors_text,actual_group_min_score,actual_group_min_rank,actual_group_plan_count,actual_group_filing_count,actual_group_vacancy_count,group_note,group_major_count
历史,10486,武汉大学,102,历+政,马克思主义理论,644,397,4,4,,,1
历史,10486,武汉大学,212,历+政,政治学类,642,461,2,2,,,1
历史,10027,北京师范大学,211,历,汉语言文学，历史学类，社会学，教育学类，哲学，公共管理类,642,469,14,14,,,6
历史,10486,武汉大学,211,历,法学，文科试验班类(弘毅学堂)，外国语言文学类，中国语言文学类，新闻传播学类，经济学类，历史学类，工商管理类,641,502,49,49,,,8
历史,10041,中国人民公安大学,114,历+政,涉外警务,641,515,1,1,,女,1
历史,10247,同济大学,207,历,法学，人文科学试验班,637,647,9,9,,,2
历史,10055,南开大学,204,历,法学，金融学类，经济学类，中国语言文学类，工商管理类(未来商业领导者计划)，历史学类,632,964,34,35,-1.0,,6
历史,10183,吉林大学,228,历,法学(涉外法治人才试验班)，法学,631,989,4,4,,,2
历史,10041,中国人民公安大学,113,历+政,侦查学，公安管理学，治安学，公安情报学，侦查学(面向生源地国家移民管理机构入警就业)，移民管理(面向生源地国家移民管理机构入警就业)，警务指挥与战术，犯罪学，治安学(警察法学),630,1045,13,13,,女,9
历史,10027,北京师范大学,218,历,戏剧影视文学,628,1187,2,2,,,1
历史,10558,中山大学,221,历,"经济学类(广州,含数字方向)，工商管理类(广州)，经济学(深圳)，工商管理(深圳)，经济学类(珠海)，旅游管理类",627,1317,198,198,,,6
历史,10055,南开大学,102,历,外国语言文学类,626,1346,7,7,,,1
历史,10027,北京师范大学,104,历,俄语，日语,626,1380,4,4,,,2
历史,10558,中山大学,211,历,汉语言文学(广州)，历史学(广州)，汉语言文学(珠海)，哲学类(广州)，历史学(珠海)，哲学(珠海),626,1409,155,156,-1.0,,6
历史,10558,中山大学,222,历,法学(法学+英语双学士学位)，法学，法语(法语+法学双学士学位)，日语(日语+法学双学士学位)，外国语言文学类(广州)，社会学类，新闻传播学类，外国语言文学类(珠海)，图书情报与档案管理类,625,1433,187,187,,,9
历史,10384,厦门大学,214,历,"法学(含涉外法治人才基地实验班)，会计学(会计财务审计,含双学士学位项目)，经济学类(含双学士学位项目)，人文科学试验班，新闻传播学类(国际传播智能广告与数字新闻)，社会学类",625,1454,25,25,,,6
历史,19027,北京师范大学(珠海校区),109,历,英语(师范)(国家公费师范生)，汉语言文学(师范)(国家公费师范生)，历史学(师范)(国家公费师范生),624,1496,45,45,,公师,3
历史,19027,北京师范大学(珠海校区),208,历,人文科学试验班，社会科学试验班,624,1569,79,79,,,2
历史,10558,中山大学,210,历+政,公共管理类，国际政治,623,1590,51,51,,,2
历史,10286,东南大学,207,历,文科试验班类(郭秉文班)，文科试验班类(数智经济与智能管理)，英语,623,1650,9,9,,,3
历史,10269,华东师范大学,209,历,汉语言文学，历史学，教育学类(师范)，法学(双学士学位)，工商管理(智能商业实验班)，新闻传播学类，英语，法学，工商管理类，汉语国际教育，金融学类,622,1765,22,22,,,11
历史,10698,西安交通大学,206,历,国际经贸规则，网络与新媒体，文科试验班类，外国语言文学类，公共管理类,621,1784,14,14,,,5
历史,10040,外交学院,107,历+政,国际事务与国际关系,621,1885,4,4,,,1
历史,10697,西北大学,208,历,考古学,620,1898,1,1,,,1
历史,19027,北京师范大学(珠海校区),110,历+政,思想政治教育(师范)(国家公费师范生),620,1935,32,32,,公师,1
历史,10272,上海财经大学,207,历,会计学，金融学，法学，财务管理，工商管理类，投资学，商务英语,620,1976,21,21,,,7
历史,10611,重庆大学,211,历,汉语言文学(博雅类)，人文科学试验班(法学新闻类),620,1998,6,6,,,2
历史,18213,哈尔滨工业大学(深圳),201,历,经济管理试验班，建筑类,619,2037,41,41,,,2
历史,10511,华中师范大学,113,历+政,思想政治教育(师范)(国家公费师范生),619,2044,3,3,,公师,1
历史,10422,山东大学,102,历+政,马克思主义理论,619,2047,2,2,,,1
历史,10183,吉林大学,102,历+政,马克思主义理论(PPE哲学政治学经济学特色班),619,2107,1,1,,,1
历史,10610,四川大学,211,历,人文科学试验班(中文与新闻传播)，法学，工商管理类，经济学类，哲学，中国古典学,619,2109,28,28,,,6
历史,10036,对外经济贸易大学,207,历,海关管理，法学类，国际经济与贸易，经济学类，金融学类，供应链管理，国际经济发展合作，工商管理类，外国语言文学类,618,2176,38,38,,,9
历史,10511,华中师范大学,111,历,汉语言文学(师范)(国家公费师范生)，历史学(师范)(国家公费师范生)，特殊教育(师范)(国家公费师范生),618,2214,7,7,,公师,3
