subject_group,school_code,school_name,major_code,major_name,selection_requirement,actual_major_max_score,actual_major_min_score,actual_major_min_rank,major_group_code,college_department,actual_major_avg_score,actual_major_admit_count,major_note
历史,18213,哈尔滨工业大学(深圳),002,经济管理试验班,历,630.0,623,1635,201,,,15,会计学
历史,18213,哈尔滨工业大学(深圳),003,建筑类,历,631.0,619,2072,201,,,26,建筑学、城乡规划、数字媒体艺术
历史,10286,东南大学,007,文科试验班类(郭秉文班),历,,628,1244,207,,,3,法学、艺术史论、哲学、汉语言文学、社会学
历史,10286,东南大学,006,文科试验班类(数智经济与智能管理),历,,623,1597,207,,,4,会计学、金融学、经济学、工商管理、国际经济与贸易、物流管理
历史,10286,东南大学,008,英语,历,,623,1650,207,,,2,
历史,10247,同济大学,010,法学,历,642.0,639,571,207,,,4,
历史,10247,同济大学,009,人文科学试验班,历,644.0,637,644,207,,,5,传播学、德语、英语(数智人文)、日语、哲学、文化产业管理、汉语言文学
历史,10055,南开大学,001,外国语言文学类,历,632.0,626,1339,102,,,7,英语、俄语、日语、法语、西班牙语、意大利语、翻译(英、德、葡、阿)
历史,10055,南开大学,009,法学,历,639.0,639,554,204,,,2,
历史,10055,南开大学,011,金融学类,历,644.0,638,601,204,,,4,金融学、保险学(保险与精算)
历史,10055,南开大学,010,经济学类,历,647.0,637,641,204,,,9,经济学、国际经济与贸易、财政学、商务经济学
历史,10055,南开大学,012,中国语言文学类,历,639.0,635,736,204,,,7,汉语言文学、新闻学、网络与新媒体(出版与智能传播方向)、汉语国际教育
历史,10055,南开大学,013,工商管理类(未来商业领导者计划),历,637.0,632,913,204,,,4,工商管理、人力资源管理、财务管理、会计学、市场营销、物流管理、图书馆学、档案学、旅游管理、会展经济与管理
历史,10055,南开大学,007,历史学类,历,636.0,632,913,204,,,7,历史学、世界史、文物与博物馆学
历史,10614,电子科技大学,007,英语,历,,615,2535,204,,,2,AI交叉复合型创新人才双学位培养计划
历史,10614,电子科技大学,005,社会科学试验班,历,,614,2676,204,,,3,"行政管理、城市管理、法学
公共管理与法律复合人才"
历史,10614,电子科技大学,006,外国语言文学类,历,,614,2676,204,,,2,英语、日语、法语
历史,10698,西安交通大学,011,国际经贸规则,历,628.0,627,1298,206,,,3,丝路国际班
历史,10698,西安交通大学,009,网络与新媒体,历,624.0,622,1731,206,,,2,
历史,10698,西安交通大学,007,文科试验班类,历,627.0,622,1731,206,,,4,哲学、社会学、汉语言文学
历史,10698,西安交通大学,008,外国语言文学类,历,625.0,622,1731,206,,,3,英语(语言数据)、英语(英俄)
历史,10698,西安交通大学,010,公共管理类,历,622.0,621,1835,206,,,2,行政管理、劳动与社会保障
历史,10027,北京师范大学,001,俄语,历,630.0,630,1062,104,,,2,
历史,10027,北京师范大学,002,日语,历,629.0,626,1378,104,,,2,
历史,10027,北京师范大学,003,特殊教育(师范)(国家公费师范生),历,617.0,607,3766,105,,,8,公师
历史,10027,北京师范大学,014,汉语言文学,历,658.0,657,123,211,,,2,
历史,10027,北京师范大学,019,历史学类,历,650.0,644,378,211,,,2,历史学、考古学
历史,10027,北京师范大学,016,社会学,历,647.0,643,420,211,,,2,
历史,10027,北京师范大学,017,教育学类,历,644.0,642,463,211,,,3,教育学、学前教育、特殊教育
历史,10027,北京师范大学,013,哲学,历,647.0,642,463,211,,,3,
历史,10027,北京师范大学,018,公共管理类,历,642.0,642,463,211,,,2,人力资源管理、公共事业管理、信息管理与信息系统(大数据治理)
历史,10027,北京师范大学,015,戏剧影视文学,历,629.0,628,1220,218,,,2,
历史,10699,西北工业大学,003,经济与贸易类,历,614.0,607,3854,205,,,8,国际经济与贸易、法学、行政管理
历史,10699,西北工业大学,002,工商管理类(管理试验班),历,612.0,606,4044,205,,,8,工商管理、会计学
